"item","f_neg_have_choice","f_ln_disutility","f_expect_free","f_lasts_a_while","f_can_hold_touch","f_worthless_alone","analysis","pair","r","df","p_value","term","Value","Std. Error"
"businesses_give_away_free",-0.0450790894098056,-0.0226599067840489,0.600190353656598,0.0673211714022431,-0.0853940162035672,-0.0306251391906088,"factor anaysis",,,,,,,
"people_dont_pay_money",-0.161931176635601,-0.00855822431116573,0.513491647444743,0.073613273094822,-0.119184681869108,0.0530583986605602,"factor anaysis",,,,,,,
"expect_free",-0.0166633531856286,0.00699900409948643,0.929859409446728,-0.00323604793425906,0.0262996600895139,0.00109854788676748,"factor anaysis",,,,,,,
"should_be_free",0.183210882558255,-0.0245466361658051,0.742782524693109,0.0283555529055698,-0.0205766194936888,0.0289995064968156,"factor anaysis",,,,,,,
"ln_disutility",0.0506036323835652,0.857240830140875,-0.0042661425025705,-0.00895384718860428,0.0245043265637403,0.0416205647744174,"factor anaysis",,,,,,,
"ln_typ_charge",0.0295214647044168,0.800000484821284,-0.129881891950921,0.232619607005866,-0.0651582867617328,-0.0576393119059373,"factor anaysis",,,,,,,
,,,,,,,"factor score correlations","painful_1_f_neg_have_choice",0.241,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_f_ln_disutility",0.69,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_f_expect_free",0.227,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_f_lasts_a_while",-0.066,399,"p=0.188",,,
,,,,,,,"factor score correlations","painful_1_f_can_hold_touch",-0.283,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_f_worthless_alone",0.069,399,"p=0.169",,,
,,,,,,,"factor score correlations","painful_1_ln_typ_charge",0.507,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_ln_disutility",0.601,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_like_1",-0.495,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_value_1",-0.366,399,"p<.001",,,
,,,,,,,"factor score correlations","f_neg_have_choice_f_ln_disutility",0.146,399,"p=0.003",,,
,,,,,,,"factor score correlations","f_neg_have_choice_f_expect_free",0.276,399,"p<.001",,,
,,,,,,,"factor score correlations","f_neg_have_choice_f_lasts_a_while",0.104,399,"p=0.038",,,
,,,,,,,"factor score correlations","f_neg_have_choice_f_can_hold_touch",-0.243,399,"p<.001",,,
,,,,,,,"factor score correlations","f_neg_have_choice_f_worthless_alone",0.117,399,"p=0.019",,,
,,,,,,,"factor score correlations","f_neg_have_choice_ln_typ_charge",0.151,399,"p=0.002",,,
,,,,,,,"factor score correlations","f_neg_have_choice_ln_disutility",0.187,399,"p<.001",,,
,,,,,,,"factor score correlations","f_neg_have_choice_like_1",-0.188,399,"p<.001",,,
,,,,,,,"factor score correlations","f_neg_have_choice_value_1",0.236,399,"p<.001",,,
,,,,,,,"factor score correlations","f_ln_disutility_f_expect_free",-0.056,399,"p=0.261",,,
,,,,,,,"factor score correlations","f_ln_disutility_f_lasts_a_while",0.055,399,"p=0.268",,,
,,,,,,,"factor score correlations","f_ln_disutility_f_can_hold_touch",-0.155,399,"p=0.002",,,
,,,,,,,"factor score correlations","f_ln_disutility_f_worthless_alone",0.033,399,"p=0.513",,,
,,,,,,,"factor score correlations","f_ln_disutility_ln_typ_charge",0.864,399,"p<.001",,,
,,,,,,,"factor score correlations","f_ln_disutility_ln_disutility",0.885,399,"p<.001",,,
,,,,,,,"factor score correlations","f_ln_disutility_like_1",-0.399,399,"p<.001",,,
,,,,,,,"factor score correlations","f_ln_disutility_value_1",-0.277,399,"p<.001",,,
,,,,,,,"factor score correlations","f_expect_free_f_lasts_a_while",-0.044,399,"p=0.384",,,
,,,,,,,"factor score correlations","f_expect_free_f_can_hold_touch",-0.353,399,"p<.001",,,
,,,,,,,"factor score correlations","f_expect_free_f_worthless_alone",0.279,399,"p<.001",,,
,,,,,,,"factor score correlations","f_expect_free_ln_typ_charge",-0.175,399,"p<.001",,,
,,,,,,,"factor score correlations","f_expect_free_ln_disutility",-0.014,399,"p=0.774",,,
,,,,,,,"factor score correlations","f_expect_free_like_1",-0.135,399,"p=0.007",,,
,,,,,,,"factor score correlations","f_expect_free_value_1",-0.01,399,"p=0.834",,,
,,,,,,,"factor score correlations","f_lasts_a_while_f_can_hold_touch",0.036,399,"p=0.471",,,
,,,,,,,"factor score correlations","f_lasts_a_while_f_worthless_alone",0.184,399,"p<.001",,,
,,,,,,,"factor score correlations","f_lasts_a_while_ln_typ_charge",0.29,399,"p<.001",,,
,,,,,,,"factor score correlations","f_lasts_a_while_ln_disutility",0.094,399,"p=0.061",,,
,,,,,,,"factor score correlations","f_lasts_a_while_like_1",-0.023,399,"p=0.643",,,
,,,,,,,"factor score correlations","f_lasts_a_while_value_1",0.315,399,"p<.001",,,
,,,,,,,"factor score correlations","f_can_hold_touch_f_worthless_alone",-0.143,399,"p=0.004",,,
,,,,,,,"factor score correlations","f_can_hold_touch_ln_typ_charge",-0.109,399,"p=0.029",,,
,,,,,,,"factor score correlations","f_can_hold_touch_ln_disutility",-0.122,399,"p=0.014",,,
,,,,,,,"factor score correlations","f_can_hold_touch_like_1",0.213,399,"p<.001",,,
,,,,,,,"factor score correlations","f_can_hold_touch_value_1",0.012,399,"p=0.804",,,
,,,,,,,"factor score correlations","f_worthless_alone_ln_typ_charge",-0.019,399,"p=0.7",,,
,,,,,,,"factor score correlations","f_worthless_alone_ln_disutility",0.061,399,"p=0.226",,,
,,,,,,,"factor score correlations","f_worthless_alone_like_1",-0.128,399,"p=0.01",,,
,,,,,,,"factor score correlations","f_worthless_alone_value_1",-0.005,399,"p=0.916",,,
,,,,,,,"factor score correlations","ln_typ_charge_ln_disutility",0.752,399,"p<.001",,,
,,,,,,,"factor score correlations","ln_typ_charge_like_1",-0.289,399,"p<.001",,,
,,,,,,,"factor score correlations","ln_typ_charge_value_1",-0.046,399,"p=0.356",,,
,,,,,,,"factor score correlations","ln_disutility_like_1",-0.411,399,"p<.001",,,
,,,,,,,"factor score correlations","ln_disutility_value_1",-0.26,399,"p<.001",,,
,,,,,,,"factor score correlations","like_1_value_1",0.476,399,"p<.001",,,
,,,,,,,"ordinal logistic regression, person REs",,,,"p=0.02","f_neg_have_choice",0.273,0.117
,,,,,,,"ordinal logistic regression, person REs",,,,"p<.001","f_ln_disutility",2.364,0.264
,,,,,,,"ordinal logistic regression, person REs",,,,"p<.001","f_expect_free",0.585,0.128
,,,,,,,"ordinal logistic regression, person REs",,,,"p=0.28","f_lasts_a_while",-0.133,0.123
,,,,,,,"ordinal logistic regression, person REs",,,,"p=0.034","f_can_hold_touch",-0.237,0.111
,,,,,,,"ordinal logistic regression, person REs",,,,"p=0.222","f_worthless_alone",-0.143,0.117
,,,,,,,"ordinal logistic regression, person REs",,,,"p=0.087","ln_typ_charge",-0.238,0.139
,,,,,,,"ordinal logistic regression, person REs",,,,"p<.001","like_1",-0.252,0.066
,,,,,,,"ordinal logistic regression, person REs",,,,"p<.001","value_1",-0.317,0.083
,,,,,,,"ordinal logistic regression, person REs",,,,,"McFadden's pseudo-R2",0.207,
