"item","f_neg_have_choice","f_expect_free","f_lasts_a_while","f_physical_product","f_worthless_alone","f_overpriced","analysis","pair","r","df","p_value","term","Value","Std. Error"
"overpriced",0.0330696767042692,0.0183325716076446,-0.0740726271947907,-0.00438630441345265,0.0692682894764967,0.868754409652448,"factor anaysis",,,,,,,
"expensive",-0.0140445444564372,-0.0404274245399784,0.0816005358034129,-0.0167450034510017,-0.0645866916569858,0.798860813273758,"factor anaysis",,,,,,,
"worthless_alone",-0.0176785634935104,0.00114612981481661,-0.0281600404690593,0.0195255369215021,1.00188390218985,0.0283522192110871,"factor anaysis",,,,,,,
"value_with_others",0.0420910551653733,0.0168935689779868,0.108042529991706,-0.0364110502957634,0.721531626360223,-0.0504116103317737,"factor anaysis",,,,,,,
"have_choice",-0.815385550682077,-0.0179897835621961,0.0549315390107512,-0.0465451802730372,0.0327308308930526,-0.013966293944437,"factor anaysis",,,,,,,
"have_other_options",-0.649987171344319,0.0932083289245123,-0.0196741688973081,0.0251905113717898,-0.0520301919515096,0.191139440315141,"factor anaysis",,,,,,,
"no_real_alternatives",0.633739757885157,0.0273019126469581,-0.0386416918699692,-0.109062512051888,0.135986838600957,-0.0200597242169472,"factor anaysis",,,,,,,
"negative_consequences_if_not",0.763408351678419,0.0561881956321182,0.0280381179643675,0.0112336546876105,-0.0413364986868387,0.085825846489095,"factor anaysis",,,,,,,
"cant_control_timing",0.722879729135566,0.0237482577370536,0.0834124685903614,-0.0209199933379009,-0.0129225331067417,0.0711193355179714,"factor anaysis",,,,,,,
"can_hold_touch",0.0203802071938653,-0.0614058928012644,-0.0177850295650316,0.800482381102654,-0.0258077048976739,-0.0666766448060269,"factor anaysis",,,,,,,
"physical_product",-0.00972060787316568,0.0281082607749317,0.018245143233184,1.00383753757762,0.0195815736319158,0.0249680673483169,"factor anaysis",,,,,,,
"use_long_period",-0.0421808829798571,0.0334997162717234,0.852353044337039,-0.0109599152872837,0.00982915633397627,0.00962658756164674,"factor anaysis",,,,,,,
"lasts_a_while",0.0304978268862069,-0.0222177325352779,0.989504901831221,0.0173499643149608,0.00517504108077456,-0.0106518052340343,"factor anaysis",,,,,,,
"businesses_give_away_free",-0.0426410610493092,0.603585574133218,0.0338807305764352,-0.0961124230325596,-0.0155885549786934,-0.0935294520669688,"factor anaysis",,,,,,,
"people_dont_pay_money",-0.1468193356053,0.520741178571867,0.0609067801277112,-0.0161396440425732,0.0492670902851254,0.0533784307463333,"factor anaysis",,,,,,,
"expect_free",-0.0183284219891071,0.955530562574686,-0.0291154354105901,0.034574602538488,-0.00200301873894429,-0.00109306684069168,"factor anaysis",,,,,,,
"should_be_free",0.174674611815281,0.716563355963433,0.0239631309950959,-0.0461101625654495,0.0331019974123652,0.014487346055526,"factor anaysis",,,,,,,
,,,,,,,"factor score correlations","painful_1_f_neg_have_choice",0.236,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_f_expect_free",0.227,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_f_lasts_a_while",-0.055,399,"p=0.273",,,
,,,,,,,"factor score correlations","painful_1_f_physical_product",-0.243,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_f_worthless_alone",0.053,399,"p=0.294",,,
,,,,,,,"factor score correlations","painful_1_f_overpriced",0.693,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_ln_typ_charge",0.507,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_ln_disutility",0.601,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_like_1",-0.495,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_value_1",-0.366,399,"p<.001",,,
,,,,,,,"factor score correlations","f_neg_have_choice_f_expect_free",0.277,399,"p<.001",,,
,,,,,,,"factor score correlations","f_neg_have_choice_f_lasts_a_while",0.11,399,"p=0.028",,,
,,,,,,,"factor score correlations","f_neg_have_choice_f_physical_product",-0.23,399,"p<.001",,,
,,,,,,,"factor score correlations","f_neg_have_choice_f_worthless_alone",0.119,399,"p=0.017",,,
,,,,,,,"factor score correlations","f_neg_have_choice_f_overpriced",0.136,399,"p=0.007",,,
,,,,,,,"factor score correlations","f_neg_have_choice_ln_typ_charge",0.139,399,"p=0.005",,,
,,,,,,,"factor score correlations","f_neg_have_choice_ln_disutility",0.177,399,"p<.001",,,
,,,,,,,"factor score correlations","f_neg_have_choice_like_1",-0.184,399,"p<.001",,,
,,,,,,,"factor score correlations","f_neg_have_choice_value_1",0.237,399,"p<.001",,,
,,,,,,,"factor score correlations","f_expect_free_f_lasts_a_while",0.002,399,"p=0.974",,,
,,,,,,,"factor score correlations","f_expect_free_f_physical_product",-0.34,399,"p<.001",,,
,,,,,,,"factor score correlations","f_expect_free_f_worthless_alone",0.283,399,"p<.001",,,
,,,,,,,"factor score correlations","f_expect_free_f_overpriced",0.106,399,"p=0.033",,,
,,,,,,,"factor score correlations","f_expect_free_ln_typ_charge",-0.134,399,"p=0.007",,,
,,,,,,,"factor score correlations","f_expect_free_ln_disutility",0.005,399,"p=0.916",,,
,,,,,,,"factor score correlations","f_expect_free_like_1",-0.141,399,"p=0.005",,,
,,,,,,,"factor score correlations","f_expect_free_value_1",0.003,399,"p=0.959",,,
,,,,,,,"factor score correlations","f_lasts_a_while_f_physical_product",0.073,399,"p=0.142",,,
,,,,,,,"factor score correlations","f_lasts_a_while_f_worthless_alone",0.203,399,"p<.001",,,
,,,,,,,"factor score correlations","f_lasts_a_while_f_overpriced",-0.142,399,"p=0.005",,,
,,,,,,,"factor score correlations","f_lasts_a_while_ln_typ_charge",0.278,399,"p<.001",,,
,,,,,,,"factor score correlations","f_lasts_a_while_ln_disutility",0.099,399,"p=0.048",,,
,,,,,,,"factor score correlations","f_lasts_a_while_like_1",-0.028,399,"p=0.575",,,
,,,,,,,"factor score correlations","f_lasts_a_while_value_1",0.306,399,"p<.001",,,
,,,,,,,"factor score correlations","f_physical_product_f_worthless_alone",-0.152,399,"p=0.002",,,
,,,,,,,"factor score correlations","f_physical_product_f_overpriced",-0.163,399,"p=0.001",,,
,,,,,,,"factor score correlations","f_physical_product_ln_typ_charge",-0.09,399,"p=0.073",,,
,,,,,,,"factor score correlations","f_physical_product_ln_disutility",-0.154,399,"p=0.002",,,
,,,,,,,"factor score correlations","f_physical_product_like_1",0.186,399,"p<.001",,,
,,,,,,,"factor score correlations","f_physical_product_value_1",0.04,399,"p=0.423",,,
,,,,,,,"factor score correlations","f_worthless_alone_f_overpriced",0.067,399,"p=0.183",,,
,,,,,,,"factor score correlations","f_worthless_alone_ln_typ_charge",-0.021,399,"p=0.672",,,
,,,,,,,"factor score correlations","f_worthless_alone_ln_disutility",0.029,399,"p=0.566",,,
,,,,,,,"factor score correlations","f_worthless_alone_like_1",-0.115,399,"p=0.021",,,
,,,,,,,"factor score correlations","f_worthless_alone_value_1",0.014,399,"p=0.784",,,
,,,,,,,"factor score correlations","f_overpriced_ln_typ_charge",0.474,399,"p<.001",,,
,,,,,,,"factor score correlations","f_overpriced_ln_disutility",0.553,399,"p<.001",,,
,,,,,,,"factor score correlations","f_overpriced_like_1",-0.35,399,"p<.001",,,
,,,,,,,"factor score correlations","f_overpriced_value_1",-0.373,399,"p<.001",,,
,,,,,,,"factor score correlations","ln_typ_charge_ln_disutility",0.752,399,"p<.001",,,
,,,,,,,"factor score correlations","ln_typ_charge_like_1",-0.289,399,"p<.001",,,
,,,,,,,"factor score correlations","ln_typ_charge_value_1",-0.046,399,"p=0.356",,,
,,,,,,,"factor score correlations","ln_disutility_like_1",-0.411,399,"p<.001",,,
,,,,,,,"factor score correlations","ln_disutility_value_1",-0.26,399,"p<.001",,,
,,,,,,,"factor score correlations","like_1_value_1",0.476,399,"p<.001",,,
,,,,,,,"ordinal logistic regression, person REs",,,,"p<.001","f_neg_have_choice",0.565,0.112
,,,,,,,"ordinal logistic regression, person REs",,,,"p=0.001","f_expect_free",0.366,0.112
,,,,,,,"ordinal logistic regression, person REs",,,,"p=0.041","f_lasts_a_while",-0.219,0.108
,,,,,,,"ordinal logistic regression, person REs",,,,"p=0.084","f_physical_product",-0.178,0.103
,,,,,,,"ordinal logistic regression, person REs",,,,"p=0.791","f_worthless_alone",-0.029,0.11
,,,,,,,"ordinal logistic regression, person REs",,,,"p<.001","value_1",-0.463,0.067
,,,,,,,"ordinal logistic regression, person REs",,,,"p<.001","purchased",-1.122,0.215
,,,,,,,"ordinal logistic regression, person REs",,,,"p<.001","ln_disutility",0.547,0.056
,,,,,,,"ordinal logistic regression, person REs",,,,,"McFadden's pseudo-R2",0.154,
